sleep_response,sleep,slpnaps,totwrk,educ,age,agesq,male,marr,yngkid,gdhlth,inlf,hrwage,lhrwage,work_hours_week,sleep_hours_week,sleep_hours_day,wage_observed,not_in_labor_force
3113,3113,3163,3438,12,32,1024,1,1,0,0,1,7.070003509521484,1.95586097240448,57.3,51.88333333333333,7.411904761904762,1,0
2920,2920,2920,5020,14,31,961,1,0,0,1,1,1.4299993515014648,0.3576740026473999,83.66666666666667,48.666666666666664,6.9523809523809526,1,0
2670,2670,2760,2815,17,44,1936,1,1,0,1,1,20.52999687194824,3.0218870639801025,46.916666666666664,44.5,6.357142857142858,1,0
3083,3083,3083,3786,12,30,900,0,1,0,1,1,9.61999797821045,2.2638440132141118,63.1,51.38333333333333,7.340476190476191,1,0
3448,3448,3493,2580,14,64,4096,1,1,0,1,1,2.750000238418579,1.0116009712219238,43.0,57.46666666666667,8.209523809523809,1,0
4063,4063,4078,1205,12,41,1681,1,1,0,1,1,19.249998092651367,2.9575109481811523,20.083333333333332,67.71666666666667,9.673809523809524,1,0
3180,3180,3810,2113,12,35,1225,1,1,1,1,1,1.43999981880188,0.3646430075168609,35.21666666666667,53.0,7.571428571428571,1,0
2928,2928,3003,3608,13,47,2209,1,1,0,1,1,15.01000690460205,2.708717107772827,60.13333333333333,48.8,6.9714285714285715,1,0
3368,3368,3368,2353,17,32,1024,1,1,0,1,1,4.329997539520264,1.4655669927597046,39.21666666666667,56.13333333333333,8.019047619047619,1,0
3018,3018,3168,2851,15,30,900,1,1,0,1,1,2.959999084472656,1.0851889848709106,47.516666666666666,50.3,7.185714285714286,1,0
1575,1575,1988,6415,8,43,1849,1,1,0,1,1,2.400000810623169,0.8754690289497375,106.91666666666667,26.25,3.75,1,0
3295,3295,3355,370,16,23,529,0,1,0,1,1,1.2299997806549072,0.2070139944553375,6.166666666666667,54.916666666666664,7.845238095238096,1,0
3798,3798,3798,2438,16,24,576,1,1,0,1,1,1.2299997806549072,0.2070139944553375,40.63333333333333,63.3,9.042857142857143,1,0
3008,3008,3008,2693,5,48,2304,1,1,0,1,1,5.610001564025879,1.72455096244812,44.88333333333333,50.13333333333333,7.161904761904762,1,0
3248,3248,3248,2526,12,33,1089,1,1,0,1,1,3.130000114440918,1.1410330533981323,42.1,54.13333333333333,7.733333333333333,1,0
3683,3683,3683,2950,12,23,529,1,1,0,0,1,2.309998750686645,0.8372470140457153,49.166666666666664,61.38333333333333,8.769047619047619,1,0
3201,3201,3201,3003,17,46,2116,1,1,0,1,1,9.90000343322754,2.2925350666046143,50.05,53.35,7.621428571428571,1,0
2580,2580,2580,4011,14,37,1369,1,1,1,1,1,3.9599997997283936,1.3762439489364624,66.85,43.0,6.142857142857142,1,0
3420,3420,3525,2300,12,53,2809,1,1,0,1,1,3.2999985218048096,1.1939220428466797,38.333333333333336,57.0,8.142857142857142,1,0
3090,3090,3090,1543,17,45,2025,1,1,0,1,1,14.850001335144045,2.697999954223633,25.716666666666665,51.5,7.357142857142858,1,0
2760,2760,2760,3473,17,46,2116,1,0,0,1,1,35.509986877441406,3.569813966751098,57.88333333333333,46.0,6.571428571428571,1,0
2880,2880,3030,3276,13,40,1600,1,1,0,1,1,5.329998970031738,1.6733510494232178,54.6,48.0,6.857142857142858,1,0
3470,3470,3560,2506,12,53,2809,1,1,0,1,1,3.2699999809265137,1.184790015220642,41.766666666666666,57.833333333333336,8.261904761904763,1,0
2673,2673,2673,2651,13,29,841,1,0,0,1,1,5.060002326965332,1.6213669776916504,44.18333333333333,44.55,6.364285714285714,1,0
2820,2820,2850,4580,12,29,841,1,1,0,1,1,2.4900007247924805,0.9122830033302308,76.33333333333333,47.0,6.7142857142857135,1,0
2873,2873,3243,3588,12,53,2809,1,1,0,1,1,5.319998741149902,1.6714730262756348,59.8,47.88333333333333,6.840476190476191,1,0
1905,1905,1905,3418,13,28,784,1,1,0,1,1,2.689999580383301,0.989540994167328,56.96666666666667,31.75,4.5357142857142865,1,0
2926,2926,3001,2250,12,35,1225,0,0,0,1,1,2.689999580383301,0.989540994167328,37.5,48.766666666666666,6.966666666666667,1,0
2603,2603,2603,2638,12,36,1296,1,1,1,1,1,2.959999084472656,1.0851889848709106,43.96666666666667,43.38333333333333,6.197619047619047,1,0
3238,3238,3292,3173,12,59,3481,1,1,0,0,1,3.4600014686584477,1.2412689924240112,52.88333333333333,53.96666666666667,7.70952380952381,1,0
3888,3888,3933,3446,12,26,676,1,1,0,1,1,3.4600014686584477,1.2412689924240112,57.43333333333333,64.8,9.257142857142858,1,0
2716,2716,2716,3588,16,24,576,1,1,0,1,1,4.230000019073486,1.4422019720077517,59.8,45.266666666666666,6.466666666666667,1,0
3245,3245,3275,2961,16,28,784,1,0,0,1,1,4.809999465942383,1.5706969499588013,49.35,54.083333333333336,7.726190476190476,1,0
3158,3158,3158,2778,16,39,1521,1,1,0,1,1,24.629993438720703,3.203964948654175,46.3,52.63333333333333,7.51904761904762,1,0
3105,3105,3165,3080,17,33,1089,1,1,0,1,1,19.249998092651367,2.9575109481811523,51.333333333333336,51.75,7.392857142857142,1,0
3515,3515,3665,3556,17,28,784,1,0,0,1,1,3.84999942779541,1.3480730056762695,59.266666666666666,58.583333333333336,8.369047619047619,1,0
3330,3330,3330,2788,12,33,1089,1,1,0,1,1,7.6999969482421875,2.04121994972229,46.46666666666667,55.5,7.928571428571429,1,0
4153,4153,5128,1100,12,47,2209,1,1,0,1,1,5.389997959136963,1.6845450401306152,18.333333333333332,69.21666666666667,9.88809523809524,1,0
2955,2955,2955,3116,16,31,961,1,1,1,1,1,4.620001316070557,1.5303950309753418,51.93333333333333,49.25,7.0357142857142865,1,0
2200,2200,2838,2506,12,26,676,1,0,0,0,1,3.84999942779541,1.3480730056762695,41.766666666666666,36.666666666666664,5.238095238095238,1,0
2885,2885,3073,2763,15,31,961,1,1,0,1,1,5.389997959136963,1.6845450401306152,46.05,48.083333333333336,6.8690476190476195,1,0
3345,3345,3495,3048,16,38,1444,1,1,0,1,1,7.6999969482421875,2.04121994972229,50.8,55.75,7.9642857142857135,1,0
2765,2765,2978,2511,17,44,1936,0,0,0,1,1,2.159999370574951,0.7701079845428467,41.85,46.083333333333336,6.583333333333333,1,0
3928,3928,3953,3268,12,49,2401,1,1,0,0,1,6.080001354217529,1.8050049543380735,54.46666666666667,65.46666666666667,9.352380952380951,1,0
2833,2833,3406,3242,11,56,3136,1,1,0,1,1,5.769999504089356,1.7526719570159912,54.03333333333333,47.21666666666667,6.745238095238095,1,0
3750,3750,3750,2550,12,41,1681,1,1,0,1,1,5.769999504089356,1.7526719570159912,42.5,62.5,8.928571428571427,1,0
3328,3328,3328,3188,12,36,1296,1,1,0,1,1,5.769999504089356,1.7526719570159912,53.13333333333333,55.46666666666667,7.923809523809524,1,0
3795,3795,3848,1555,9,36,1296,1,1,0,1,1,7.419999599456787,2.004179000854492,25.916666666666668,63.25,9.035714285714285,1,0
3363,3363,3513,2743,12,37,1369,1,1,0,1,1,4.329997539520264,1.4655669927597046,45.71666666666667,56.05,8.007142857142858,1,0
2280,2280,2280,5043,9,23,529,1,1,0,0,1,4.539999961853027,1.5129270553588867,84.05,38.0,5.428571428571429,1,0
4151,4151,4176,3570,10,29,841,1,1,0,1,1,3.2999985218048096,1.1939220428466797,59.5,69.18333333333334,9.883333333333333,1,0
3266,3266,3266,2883,17,29,841,1,0,0,1,1,4.739999294281006,1.5560369491577148,48.05,54.43333333333333,7.776190476190476,1,0
3570,3570,3570,2398,16,26,676,1,1,0,1,1,3.390000104904175,1.220829963684082,39.96666666666667,59.5,8.5,1,0
2885,2885,2885,2663,16,29,841,1,1,1,1,1,7.349997520446777,1.9946999549865725,44.38333333333333,48.083333333333336,6.8690476190476195,1,0
2879,2879,2879,2363,17,25,625,1,0,0,1,1,3.1500017642974854,1.1474030017852783,39.38333333333333,47.983333333333334,6.854761904761904,1,0
2790,2790,2790,1800,14,24,576,0,0,0,1,1,1.0499998331069946,0.0487900003790855,30.0,46.5,6.642857142857142,1,0
2799,2799,2799,2700,16,23,529,1,1,0,1,1,8.400002479553223,2.128232002258301,45.0,46.65,6.664285714285714,1,0
3173,3173,3211,3031,12,28,784,1,1,0,1,1,5.460000991821289,1.697448968887329,50.516666666666666,52.88333333333333,7.554761904761905,1,0
3308,3308,3308,2438,17,29,841,1,1,1,1,1,5.460000991821289,1.697448968887329,40.63333333333333,55.13333333333333,7.876190476190476,1,0
3305,3305,3305,2620,12,39,1521,1,1,0,1,1,8.400002479553223,2.128232002258301,43.666666666666664,55.083333333333336,7.8690476190476195,1,0
2975,2975,3646,2698,12,31,961,0,0,0,1,1,2.7999987602233887,1.0296189785003662,44.96666666666667,49.583333333333336,7.083333333333333,1,0
3316,3316,3466,2970,8,50,2500,1,1,0,1,1,4.28000020980835,1.4539530277252195,49.5,55.266666666666666,7.895238095238096,1,0
3226,3226,3226,2430,10,36,1296,1,1,0,1,1,3.05000114440918,1.115141987800598,40.5,53.766666666666666,7.68095238095238,1,0
3635,3635,3635,2250,12,28,784,0,1,0,1,1,2.43999981880188,0.8919979929924011,37.5,60.583333333333336,8.654761904761905,1,0
3233,3233,3683,2888,11,50,2500,1,1,0,1,1,5.179999351501465,1.6448049545288086,48.13333333333333,53.88333333333333,7.697619047619047,1,0
3348,3348,3348,1345,12,50,2500,1,1,0,1,1,7.990002155303955,2.078191041946411,22.416666666666668,55.8,7.9714285714285715,1,0
2630,2630,2630,2925,13,50,2500,0,0,0,1,1,5.999997138977051,1.791759014129639,48.75,43.833333333333336,6.261904761904762,1,0
2858,2858,2858,3976,12,55,3025,0,0,0,1,1,3.229999542236328,1.1724820137023926,66.26666666666667,47.63333333333333,6.804761904761905,1,0
3203,3203,3271,2205,16,34,1156,0,1,0,1,1,3.229999542236328,1.1724820137023926,36.75,53.38333333333333,7.626190476190476,1,0
3451,3451,3551,1208,12,44,1936,1,0,0,1,1,5.999997138977051,1.791759014129639,20.133333333333333,57.516666666666666,8.216666666666667,1,0
3008,3008,3008,2905,16,30,900,1,1,1,1,1,5.769999504089356,1.7526719570159912,48.416666666666664,50.13333333333333,7.161904761904762,1,0
2821,2821,2851,3825,9,23,529,1,1,0,1,1,2.7699990272521973,1.0188469886779783,63.75,47.016666666666666,6.716666666666667,1,0
3525,3525,3680,2348,16,32,1024,1,1,1,1,1,5.540002822875977,1.711995005607605,39.13333333333333,58.75,8.392857142857142,1,0
